benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
VexRiscv-regch0-15-p0;avr;uns;-1;36.83;197.37;2633.0;btormc;uns;-1;9.40;9.30;82.0;cosa2;uns;-1;13.45;53.75;362.0;nuxmv;uns;-1;2857.39;8570.64;2062.0;pono;uns;-1;17.22;67.67;421.0
VexRiscv-regch0-15-p1;avr;uns;-1;55.85;329.69;4350.0;btormc;uns;-1;9.59;9.46;79.0;cosa2;uns;-1;14.15;56.56;368.0;nuxmv;uns;-1;3105.02;6296.49;1702.0;pono;uns;-1;21.19;84.61;443.0
VexRiscv-regch0-20-p0;avr;uns;-1;530.12;7749.45;10376.0;btormc;uns;-1;228.44;228.36;209.0;cosa2;uns;-1;235.42;947.72;984.0;nuxmv;time;-1;3600.10;8203.90;2263.0;pono;uns;-1;492.04;1981.27;1475.0
arbitrated_fifos_n2d8w8;avr;unk;-1;3573.29;28426.36;4803.0;btormc;time;-1;3600.09;3599.87;371.0;cosa2;time;-1;3600.10;10889.73;660.0;nuxmv;time;-1;3600.10;7202.78;1805.0;pono;unk;-1;0.74;1.46;82.0
array_swap;avr;unk;-1;3576.21;46507.75;24699.0;btormc;time;-1;3600.10;3599.92;3213.0;cosa2;unk;-1;0.42;0.09;31.0;nuxmv;time;-1;3600.10;7199.28;4207.0;pono;time;-1;3600.10;10890.30;12916.0
dblclockfft_butterfly_ck1-p006;avr;uns;-1;3.32;36.22;2660.0;btormc;uns;-1;0.24;0.19;28.0;cosa2;uns;-1;48.46;194.66;1245.0;nuxmv;uns;-1;2.15;4.81;341.0;pono;uns;-1;0.32;1.23;145.0
dblclockfft_butterfly_ck1-p015;avr;uns;-1;7.84;103.37;4773.0;btormc;uns;-1;0.60;0.49;41.0;cosa2;uns;-1;556.08;2238.69;3730.0;nuxmv;uns;-1;10.52;29.60;624.0;pono;uns;-1;0.56;2.52;221.0
dblclockfft_butterfly_ck1-p023;avr;uns;-1;1.81;17.26;2100.0;btormc;uns;-1;0.54;0.50;39.0;cosa2;uns;-1;411.35;1656.10;3304.0;nuxmv;uns;-1;7.34;20.06;577.0;pono;uns;-1;0.50;1.94;211.0
dblclockfft_butterfly_ck1-p053;avr;uns;-1;3.32;36.38;2717.0;btormc;uns;-1;0.25;0.20;26.0;cosa2;uns;-1;49.18;197.52;1231.0;nuxmv;uns;-1;2.18;4.53;335.0;pono;uns;-1;0.32;0.72;144.0
dblclockfft_butterfly_ck1-p060;avr;uns;-1;1.65;15.35;1632.0;btormc;uns;-1;0.12;0.00;0.0;cosa2;uns;-1;0.40;1.01;119.0;nuxmv;uns;-1;1.17;1.65;230.0;pono;uns;-1;0.24;0.69;143.0
