        cnt  ok sat uns dis fld  to mo unk  real   time   space   max best uniq
    abc 324 262  56 206   0  62  62  0   0 36505 429078  344728 31293   29    1
  abc17 324 262  55 207   0  62  62  0   0 39465 470045  352773 31820   13    1
    avr 324 257  47 210   0  67   0  0  67 44345 661085 1134068 49141   24   11
  nuxmv 324 245  47 198   0  79  79  0   0 44737 178444  174580  5650   11    2
 pdtrav 324 245  45 200   0  79  76  0   3 74891 429930  713508 30090   11    3
    avy 324 236  40 196   0  88  88  0   0 44055 437528  426064 14949   34    0
  nmtip 200 146   3 143  22  32   0  0  32   667    655    2937   383  118    9
   pono 324 142  40 102   0 182 165 16   1 35943 174134  203512 68035    5    0
  cosa2 324 135  40  95   0 189 189  0   0 39249 151083  105336  9270    9    0
 btormc 324 115  40  75   0 209 208  0   1 38212  38203   28685  2565   38    1
camical 324  43  43   0   0 281 142  0 139 30048  30046    9821   945    8    0
