        cnt ok sat dis fld to unk  real   time  space   max best uniq
    abc  65 56  56   0   9  9   0 17368 200348  97643  8140   16    1
  abc17  65 55  55   0  10 10   0 19917 235711 102368  8083    6    1
  nuxmv  65 47  47   0  18 18   0 13340  53240  51215  5650    8    0
    avr  65 47  47   0  18  0  18 17452 251887 255169 22150    2    1
 pdtrav  65 45  45   0  20 17   3 29746 166427 293560 30090    5    2
camical  65 43  43   0  22 22   0 30048  30046   9821   945    8    0
  cosa2  65 40  40   0  25 25   0 12702  51132  32455  2737    8    0
   pono  65 40  40   0  25 25   0 14025  70219  46377  4671    2    0
    avy  65 40  40   0  25 25   0 20110 199809 115295 12011   10    0
 btormc  65 40  40   0  25 25   0 20415  20412  13415  1804    0    0
  nmtip  27  3   3  22   2  0   2   344    344    417   383    0    0
