        cnt  ok uns fld  to mo unk  real   time  space   max best uniq
    avr 234 210 210  24   0  0  24 26893 409198 878899 49141   22   10
  abc17 234 207 207  27  27  0   0 19548 234333 250405 31820    7    0
    abc 234 206 206  28  28  0   0 19137 228731 247085 31293   13    0
 pdtrav 234 200 200  34  34  0   0 45145 263503 419948 17835    6    1
  nuxmv 234 198 198  36  36  0   0 31397 125205 123365  2832    3    2
    avy 234 196 196  38  38  0   0 23945 237719 310769 14949   24    0
  nmtip 171 143 143  28   0  0  28   323    312   2520   120  118    9
   pono 234 102 102 132 115 16   1 21918 103916 157135 68035    3    0
  cosa2 234  95  95 139 139  0   0 26547  99951  72881  9270    1    0
 btormc 234  75  75 159 158  0   1 17797  17791  15270  2565   38    1
