        cnt  ok sat uns dis fld  to mo unk   real    time   space   max best uniq
    avr 639 547  66 481   0  92   0  0  92  71456 1049649 2282407 49141  100   23
  nuxmv 639 500  50 450   0 139 139  0   0  99664  339693  505974  6898   12    2
   pono 639 386  58 328   0 253 219 22  12  63789  288937  596666 77761   38    1
  cosa2 639 373  58 315   0 266 252  1  13 136153  537672  585138 14623   17    0
 btormc 639 333  59 274   0 306 305  0   1  53822   53797   47550  2565  208    2
    abc 324 262  56 206   0  62  62  0   0  36505  429078  344728 31293   29    1
  abc17 324 262  55 207   0  62  62  0   0  39465  470045  352773 31820   10    1
 pdtrav 324 245  45 200   0  79  76  0   3  74891  429930  713508 30090    8    2
    avy 324 236  40 196   0  88  88  0   0  44055  437528  426064 14949   25    0
  nmtip 324 210  17 193  26  88  88  0   0  24949   24933   17119  3117  142   13
camical 324  43  43   0   0 281 142  0 139  30048   30046    9821   945    8    0
