        cnt ok sat dis fld to unk  real   time  space   max best uniq
    avr  84 66  66   0  18  0  18 28685 409752 377491 22150    3    1
 btormc  84 59  59   0  25 25   0 30608  30603  20424  1804    0    0
  cosa2  84 58  58   0  26 26   0 17989  72410  49878  2737   16    0
   pono  84 58  58   0  26 25   1 18759  89266  64543  4671   12    0
    abc  65 56  56   0   9  9   0 17368 200348  97643  8140   16    1
  abc17  65 55  55   0  10 10   0 19917 235711 102368  8083    6    1
  nuxmv  84 50  50   0  34 34   0 13351  53270  51997  5650    8    0
 pdtrav  65 45  45   0  20 17   3 29746 166427 293560 30090    5    2
camical  65 43  43   0  22 22   0 30048  30046   9821   945    8    0
    avy  65 40  40   0  25 25   0 20110 199809 115295 12011   10    0
  nmtip  65 17  17  26  22 22   0  5143   5142   7662  3117    0    0
