        cnt  ok uns fld  to mo unk   real   time   space   max best uniq
    avr 512 481 481  31   0  0  31  42771 639897 1904916 49141   97   22
  nuxmv 512 450 450  62  62  0   0  86313 286423  453977  6898    4    2
   pono 512 328 328 184 157 18   9  45030 199671  532123 77761   26    1
  cosa2 512 315 315 197 186  1  10 118164 465262  535260 14623    1    0
 btormc 512 274 274 238 237  0   1  23214  23194   27126  2565  208    2
  abc17 238 207 207  31  31  0   0  19548 234333  250405 31820    4    0
    abc 238 206 206  32  32  0   0  19137 228731  247085 31293   13    0
 pdtrav 238 200 200  38  38  0   0  45145 263503  419948 17835    3    0
    avy 238 196 196  42  42  0   0  23945 237719  310769 14949   15    0
  nmtip 238 193 193  45  45  0   0  19807  19791    9457   722  142   13
